bodyId_pre,bodyId_post,instance_pre,instance_post,type_pre,type_post,weight
1783690466,1807572051,LC17,LC17,LC17,LC17,3
1783690466,1808241116,LC17,LC17,LC17,LC17,2
1783690466,1812363713,LC17,LC17,LC17,LC17,2
1783690466,1813028777,LC17,LC17,LC17,LC17,2
1783690466,1814031575,LC17,LC17,LC17,LC17,3
1783690466,1814055949,LC17,LC17,LC17,LC17,2
1783690466,1814410124,LC17,LC17,LC17,LC17,2
1783690466,1817108009,LC17,LC17,LC17,LC17,4
1783690466,1817449116,LC17,LC17(lVLPT4)_R,LC17,LC17,3
1783690466,1817452948,LC17,LC17,LC17,LC17,2
1783690466,1817453065,LC17,LC17,LC17,LC17,4
1783690466,1817457808,LC17,LC17,LC17,LC17,2
1783690466,1817457847,LC17,LC17,LC17,LC17,2
1783690466,1817457987,LC17,LC17,LC17,LC17,2
1783690466,1817463007,LC17,LC17,LC17,LC17,2
1783690466,1817790176,LC17,LC17,LC17,LC17,2
1783690466,1817790222,LC17,LC17,LC17,LC17,3
1783690466,1817799390,LC17,LC17,LC17,LC17,3
1783690466,1818136404,LC17,LC17,LC17,LC17,5
1783690466,1848492714,LC17,LC17,LC17,LC17,2
1783690466,1848506334,LC17,NA,LC17,NA,2
1783690466,1848824817,LC17,LC17,LC17,LC17,2
1783690466,1849174879,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1783690466,1849178917,LC17,LC17,LC17,LC17,2
1783690466,1849503142,LC17,LC17,LC17,LC17,2
1783690466,1875124235,LC17,LC17,LC17,LC17,2
1783690466,1875460978,LC17,LC17,LC17,LC17,3
1783690466,1879226079,LC17,NA,LC17,NA,3
1783690466,1879855184,LC17,NA,LC17,NA,2
1783690466,1880209425,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1783690466,1880887003,LC17,LC17,LC17,LC17,2
1783690466,1911589342,LC17,NA,LC17,NA,2
1783690466,1942306052,LC17,NA,LC17,NA,2
1783690466,1973344707,LC17,NA,LC17,NA,2
1783690466,2003684308,LC17,NA,LC17,NA,2
1783690466,2005044052,LC17,NA,LC17,NA,2
1783690466,2098157536,LC17,NA,LC17,NA,2
1783690466,2098494223,LC17,NA,LC17,NA,3
1783690466,5812992219,LC17,LC17,LC17,LC17,3
1783690466,5813017315,LC17,AVLP479_R,LC17,AVLP479,11
1783690466,5813039148,LC17,PVLP011_R,LC17,PVLP011,41
1783690466,5813054384,LC17,PPM1203_R,LC17,PPM1203,2
1783690466,5813057178,LC17,PVLP136_R,LC17,PVLP136,6
1783690466,5813057579,LC17,AVLP538_R,LC17,AVLP538,20
1783690466,5813077633,LC17,AVLP479_R,LC17,AVLP479,7
1783690466,5813080260,LC17,AVLP153_R,LC17,AVLP153,10
1807572051,447228814,LC17,PVLP106_R,LC17,PVLP106,46
1807572051,912601209,LC17,PLP244(SCB010)_L,LC17,PLP244,2
1807572051,1068885266,LC17,PVLP151(SCB004)_R,LC17,PVLP151,14
1807572051,1070950293,LC17,PVLP151(SCB004)_R,LC17,PVLP151,2
1807572051,1158877703,LC17,LC17(lVLPT4)_R,LC17,LC17,4
1807572051,1250277991,LC17,LC17,LC17,LC17,6
