path,bodyId,type,weight,size,source,target
0,1963869286,DNb03,16,3,5813057579,1963869286
1,5813057579,AVLP538,0,3,5813057579,1963869286
1,1353043462,OA-VUMa1,21,3,5813057579,1963869286
1,5813022629,PS013,13,3,5813057579,1963869286
1,1963869286,DNb03,16,3,5813057579,1963869286
0,5813057579,AVLP538,0,3,5813057579,5812993956
0,1498720407,PVLP143,14,3,5813057579,5812993956
0,5813057769,PS265,35,3,5813057579,5812993956
0,5812993956,DNp17,36,3,5813057579,5812993956
0,5813057579,AVLP538,0,3,5813057579,5813012529
0,979627466,CL065,20,3,5813057579,5813012529
0,328010530,SMP454,26,3,5813057579,5813012529
0,5813012529,DNd01,17,3,5813057579,5813012529
1,5813057579,AVLP538,0,3,5813057579,5813012529
1,5812983831,AVLP562,42,3,5813057579,5813012529
1,328010530,SMP454,26,3,5813057579,5813012529
1,5813012529,DNd01,17,3,5813057579,5813012529
2,5813057579,AVLP538,0,3,5813057579,5813012529
2,735470654,AVLP563,61,3,5813057579,5813012529
2,328010530,SMP454,35,3,5813057579,5813012529
2,5813012529,DNd01,17,3,5813057579,5813012529
0,5813057579,AVLP538,0,3,5813057579,5813020347
0,5812983831,AVLP562,42,3,5813057579,5813020347
0,794919689,,12,3,5813057579,5813020347
0,5813020347,DNp27,29,3,5813057579,5813020347
1,5813057579,AVLP538,0,3,5813057579,5813020347
1,5812983831,AVLP562,42,3,5813057579,5813020347
1,797644437,,18,3,5813057579,5813020347
1,5813020347,DNp27,10,3,5813057579,5813020347
0,5813057579,AVLP538,0,3,5813057579,5813020864
0,979627466,CL065,20,3,5813057579,5813020864
0,328010530,SMP454,26,3,5813057579,5813020864
0,5813020864,DNd01,19,3,5813057579,5813020864
1,5813057579,AVLP538,0,3,5813057579,5813020864
1,5812983831,AVLP562,42,3,5813057579,5813020864
1,328010530,SMP454,26,3,5813057579,5813020864
1,5813020864,DNd01,19,3,5813057579,5813020864
2,5813057579,AVLP538,0,3,5813057579,5813020864
2,735470654,AVLP563,61,3,5813057579,5813020864
2,328010530,SMP454,35,3,5813057579,5813020864
2,5813020864,DNd01,19,3,5813057579,5813020864
0,5813057579,AVLP538,0,2,5813057579,5813023322
0,982982098,CL266_b,13,2,5813057579,5813023322
0,5813023322,DNp06,13,2,5813057579,5813023322
1,5813057579,AVLP538,0,2,5813057579,5813023322
1,5813068559,AVLP396,13,2,5813057579,5813023322
1,5813023322,DNp06,47,2,5813057579,5813023322
2,5813057579,AVLP538,0,2,5813057579,5813023322
2,1540241926,AVLP500,26,2,5813057579,5813023322
2,5813023322,DNp06,14,2,5813057579,5813023322
3,5813057579,AVLP538,0,2,5813057579,5813023322
3,5813027276,AVLP080,40,2,5813057579,5813023322
3,5813023322,DNp06,28,2,5813057579,5813023322
4,5813057579,AVLP538,0,2,5813057579,5813023322
4,915105429,PVLP076,18,2,5813057579,5813023322
4,5813023322,DNp06,145,2,5813057579,5813023322
5,5813057579,AVLP538,0,2,5813057579,5813023322
5,947923543,PVLP107,11,2,5813057579,5813023322
5,5813023322,DNp06,23,2,5813057579,5813023322
6,5813057579,AVLP538,0,2,5813057579,5813023322
6,1443804853,AVLP592,20,2,5813057579,5813023322
6,5813023322,DNp06,48,2,5813057579,5813023322
7,5813057579,AVLP538,0,2,5813057579,5813023322
7,947573616,AVLP016,39,2,5813057579,5813023322
7,5813023322,DNp06,17,2,5813057579,5813023322
8,5813057579,AVLP538,0,2,5813057579,5813023322
8,1571884727,PVLP080,20,2,5813057579,5813023322
8,5813023322,DNp06,13,2,5813057579,5813023322
9,5813057579,AVLP538,0,2,5813057579,5813023322
9,1321564092,AVLP001,34,2,5813057579,5813023322
9,5813023322,DNp06,41,2,5813057579,5813023322
10,5813057579,AVLP538,0,2,5813057579,5813023322
10,1886098460,,20,2,5813057579,5813023322
10,5813023322,DNp06,13,2,5813057579,5813023322
11,5813057579,AVLP538,0,2,5813057579,5813023322
11,1195870226,AVLP177_a,13,2,5813057579,5813023322
11,5813023322,DNp06,28,2,5813057579,5813023322
12,5813057579,AVLP538,0,2,5813057579,5813023322
12,5813039148,PVLP011,29,2,5813057579,5813023322
12,5813023322,DNp06,16,2,5813057579,5813023322
13,5813057579,AVLP538,0,2,5813057579,5813023322
13,1632016438,AVLP498,25,2,5813057579,5813023322
13,5813023322,DNp06,28,2,5813057579,5813023322
14,5813057579,AVLP538,0,2,5813057579,5813023322
14,5813033561,AVLP435,46,2,5813057579,5813023322
14,5813023322,DNp06,16,2,5813057579,5813023322
15,5813057579,AVLP538,0,2,5813057579,5813023322
15,5813099340,AVLP166,17,2,5813057579,5813023322
15,5813023322,DNp06,32,2,5813057579,5813023322
16,5813057579,AVLP538,0,2,5813057579,5813023322
16,950880008,AVLP079,37,2,5813057579,5813023322
16,5813023322,DNp06,36,2,5813057579,5813023322
17,5813057579,AVLP538,0,2,5813057579,5813023322
17,1074337817,AVLP059,15,2,5813057579,5813023322
17,5813023322,DNp06,19,2,5813057579,5813023322
18,5813057579,AVLP538,0,2,5813057579,5813023322
18,1383383062,PVLP015,11,2,5813057579,5813023322
18,5813023322,DNp06,10,2,5813057579,5813023322
19,5813057579,AVLP538,0,2,5813057579,5813023322
19,1256268811,AVLP177_a,15,2,5813057579,5813023322
19,5813023322,DNp06,49,2,5813057579,5813023322
20,5813057579,AVLP538,0,2,5813057579,5813023322
20,1411737459,PVLP010,11,2,5813057579,5813023322
20,5813023322,DNp06,180,2,5813057579,5813023322
21,5813057579,AVLP538,0,2,5813057579,5813023322
21,1506120610,PVLP080,10,2,5813057579,5813023322
21,5813023322,DNp06,17,2,5813057579,5813023322
22,5813057579,AVLP538,0,2,5813057579,5813023322
22,828144800,AVLP166,24,2,5813057579,5813023322
22,5813023322,DNp06,28,2,5813057579,5813023322
23,5813057579,AVLP538,0,2,5813057579,5813023322
23,1286298090,,14,2,5813057579,5813023322
23,5813023322,DNp06,10,2,5813057579,5813023322
24,5813057579,AVLP538,0,2,5813057579,5813023322
24,857793013,AVLP251,14,2,5813057579,5813023322
24,5813023322,DNp06,14,2,5813057579,5813023322
25,5813057579,AVLP538,0,2,5813057579,5813023322
25,1449835055,AVLP435,11,2,5813057579,5813023322
25,5813023322,DNp06,76,2,5813057579,5813023322
26,5813057579,AVLP538,0,2,5813057579,5813023322
26,1510855070,PVLP080,20,2,5813057579,5813023322
26,5813023322,DNp06,27,2,5813057579,5813023322
27,5813057579,AVLP538,0,2,5813057579,5813023322
27,1570210823,PVLP088,15,2,5813057579,5813023322
27,5813023322,DNp06,13,2,5813057579,5813023322
28,5813057579,AVLP538,0,2,5813057579,5813023322
28,1417768398,PVLP017,32,2,5813057579,5813023322
28,5813023322,DNp06,24,2,5813057579,5813023322
29,5813057579,AVLP538,0,2,5813057579,5813023322
29,1135441187,AVLP076,36,2,5813057579,5813023322
29,5813023322,DNp06,179,2,5813057579,5813023322
30,5813057579,AVLP538,0,2,5813057579,5813023322
30,5813059915,AVLP591,32,2,5813057579,5813023322
30,5813023322,DNp06,17,2,5813057579,5813023322
0,5813057579,AVLP538,0,2,5813057579,5813024015
0,915105429,PVLP076,18,2,5813057579,5813024015
0,5813024015,DNp02,27,2,5813057579,5813024015
1,5813057579,AVLP538,0,2,5813057579,5813024015
1,1411737459,PVLP010,11,2,5813057579,5813024015
1,5813024015,DNp02,97,2,5813057579,5813024015
0,5813057579,AVLP538,0,2,5813057579,5813026936
0,797442049,AVLP280,12,2,5813057579,5813026936
0,5813026936,DNp10,20,2,5813057579,5813026936
0,5813057579,AVLP538,0,3,5813057579,5813045400
0,1498720407,PVLP143,14,3,5813057579,5813045400
0,5813057769,PS265,35,3,5813057579,5813045400
0,5813045400,DNp17,20,3,5813057579,5813045400
0,5813057579,AVLP538,0,3,5813057579,5813047199
0,766389431,AVLP060,12,3,5813057579,5813047199
0,454386099,SLP131,75,3,5813057579,5813047199
0,5813047199,DNp24,33,3,5813057579,5813047199
1,5813057579,AVLP538,0,3,5813057579,5813047199
1,1042703654,AVLP061,12,3,5813057579,5813047199
1,454386099,SLP131,10,3,5813057579,5813047199
1,5813047199,DNp24,33,3,5813057579,5813047199
0,5813057579,AVLP538,0,2,5813057579,5813050455
0,797442049,AVLP280,12,2,5813057579,5813050455
0,5813050455,DNp32,17,2,5813057579,5813050455
0,5813057579,AVLP538,0,3,5813057579,5813054498
0,1498720407,PVLP143,14,3,5813057579,5813054498
0,5813057769,PS265,35,3,5813057579,5813054498
0,5813054498,DNp17,13,3,5813057579,5813054498
0,5813057579,AVLP538,0,2,5813057579,5813068840
0,1411737459,PVLP010,11,2,5813057579,5813068840
0,5813068840,DNp18,12,2,5813057579,5813068840
0,5813057579,AVLP538,0,3,5813057579,5813078134
0,1448794542,,19,3,5813057579,5813078134
0,2060448332,,14,3,5813057579,5813078134
0,5813078134,DNp15,95,3,5813057579,5813078134
1,5813057579,AVLP538,0,3,5813057579,5813078134
1,1353043462,OA-VUMa1,21,3,5813057579,5813078134
1,1140249804,LAL018,24,3,5813057579,5813078134
1,5813078134,DNp15,16,3,5813057579,5813078134
2,5813057579,AVLP538,0,3,5813057579,5813078134
2,1604440343,PS064,19,3,5813057579,5813078134
2,1911888093,,20,3,5813057579,5813078134
2,5813078134,DNp15,11,3,5813057579,5813078134
3,5813057579,AVLP538,0,3,5813057579,5813078134
3,5813079288,PVLP114,20,3,5813057579,5813078134
3,1140249804,LAL018,132,3,5813057579,5813078134
3,5813078134,DNp15,16,3,5813057579,5813078134
0,5813077633,AVLP479,0,3,5813077633,512851433
0,979627466,CL065,12,3,5813077633,512851433
0,944344030,,55,3,5813077633,512851433
0,512851433,DNp10,13,3,5813077633,512851433
1,5813077633,AVLP479,0,3,5813077633,512851433
1,797442049,AVLP280,23,3,5813077633,512851433
1,947608249,CL217,10,3,5813077633,512851433
1,512851433,DNp10,15,3,5813077633,512851433
0,5813077633,AVLP479,0,3,5813077633,542751938
0,979627466,CL065,12,3,5813077633,542751938
0,729621875,CL002,91,3,5813077633,542751938
0,542751938,DNp44,19,3,5813077633,542751938
1,5813077633,AVLP479,0,3,5813077633,542751938
1,979627466,CL065,12,3,5813077633,542751938
1,328010530,SMP454,26,3,5813077633,542751938
1,542751938,DNp44,11,3,5813077633,542751938
2,5813077633,AVLP479,0,3,5813077633,542751938
2,823058891,CL109,30,3,5813077633,542751938
2,729621875,CL002,22,3,5813077633,542751938
2,542751938,DNp44,19,3,5813077633,542751938
3,5813077633,AVLP479,0,3,5813077633,542751938
3,797442049,AVLP280,23,3,5813077633,542751938
3,729621875,CL002,43,3,5813077633,542751938
3,542751938,DNp44,19,3,5813077633,542751938
4,5813077633,AVLP479,0,3,5813077633,542751938
4,735470654,AVLP563,16,3,5813077633,542751938
4,328010530,SMP454,35,3,5813077633,542751938
4,542751938,DNp44,11,3,5813077633,542751938
0,5813077633,AVLP479,0,2,5813077633,571346836
0,859839499,AVLP532,26,2,5813077633,571346836
0,571346836,DNg30,14,2,5813077633,571346836
1,5813077633,AVLP479,0,2,5813077633,571346836
1,1321564092,AVLP001,50,2,5813077633,571346836
1,571346836,DNg30,12,2,5813077633,571346836
0,5813077633,AVLP479,0,3,5813077633,707116522
0,517086196,AVLP442,10,3,5813077633,707116522
0,1008292492,PS111,62,3,5813077633,707116522
0,707116522,DNa10,26,3,5813077633,707116522
1,5813077633,AVLP479,0,3,5813077633,707116522
1,979627466,CL065,12,3,5813077633,707116522
1,1008292492,PS111,10,3,5813077633,707116522
1,707116522,DNa10,26,3,5813077633,707116522
2,5813077633,AVLP479,0,3,5813077633,707116522
2,797442049,AVLP280,23,3,5813077633,707116522
2,5813037804,PLP209,40,3,5813077633,707116522
2,707116522,DNa10,22,3,5813077633,707116522
3,5813077633,AVLP479,0,3,5813077633,707116522
3,767123688,CL326,22,3,5813077633,707116522
3,549722579,CRE040,38,3,5813077633,707116522
3,707116522,DNa10,18,3,5813077633,707116522
4,5813077633,AVLP479,0,3,5813077633,707116522
4,517086196,AVLP442,10,3,5813077633,707116522
4,5813070594,PS112,24,3,5813077633,707116522
4,707116522,DNa10,13,3,5813077633,707116522
5,5813077633,AVLP479,0,3,5813077633,707116522
5,517086196,AVLP442,10,3,5813077633,707116522
5,388280029,CL184,12,3,5813077633,707116522
5,707116522,DNa10,10,3,5813077633,707116522
6,5813077633,AVLP479,0,3,5813077633,707116522
6,517086196,AVLP442,10,3,5813077633,707116522
6,1593936440,,18,3,5813077633,707116522
6,707116522,DNa10,94,3,5813077633,707116522
7,5813077633,AVLP479,0,3,5813077633,707116522
7,5813056261,CL361,33,3,5813077633,707116522
7,1593936440,,18,3,5813077633,707116522
7,707116522,DNa10,94,3,5813077633,707116522
8,5813077633,AVLP479,0,3,5813077633,707116522
8,735470654,AVLP563,16,3,5813077633,707116522
8,668967527,CRE040,14,3,5813077633,707116522
8,707116522,DNa10,10,3,5813077633,707116522
9,5813077633,AVLP479,0,3,5813077633,707116522
9,1728104437,AVLP440,17,3,5813077633,707116522
9,418607079,AVLP590,10,3,5813077633,707116522
9,707116522,DNa10,35,3,5813077633,707116522
10,5813077633,AVLP479,0,3,5813077633,707116522
10,5813027276,AVLP080,14,3,5813077633,707116522
10,418607079,AVLP590,12,3,5813077633,707116522
10,707116522,DNa10,35,3,5813077633,707116522
11,5813077633,AVLP479,0,3,5813077633,707116522
11,797442049,AVLP280,23,3,5813077633,707116522
11,418607079,AVLP590,107,3,5813077633,707116522
11,707116522,DNa10,35,3,5813077633,707116522
12,5813077633,AVLP479,0,3,5813077633,707116522
12,1136407269,AVLP081,103,3,5813077633,707116522
12,418607079,AVLP590,14,3,5813077633,707116522
12,707116522,DNa10,35,3,5813077633,707116522
0,5813077633,AVLP479,0,2,5813077633,887195902
0,1420522486,AVLP551,18,2,5813077633,887195902
0,887195902,DNp13,13,2,5813077633,887195902
0,5813077633,AVLP479,0,3,5813077633,944974703
0,5813056261,CL361,33,3,5813077633,944974703
0,1009311804,PS182,10,3,5813077633,944974703
0,944974703,DNb04,20,3,5813077633,944974703
0,5813077633,AVLP479,0,3,5813077633,981000564
0,673639143,AVLP215,24,3,5813077633,981000564
0,947573616,AVLP016,35,3,5813077633,981000564
0,981000564,DNp42,12,3,5813077633,981000564
1,5813077633,AVLP479,0,3,5813077633,981000564
1,5813027276,AVLP080,14,3,5813077633,981000564
1,947573616,AVLP016,79,3,5813077633,981000564
1,981000564,DNp42,12,3,5813077633,981000564
2,5813077633,AVLP479,0,3,5813077633,981000564
2,517086196,AVLP442,10,3,5813077633,981000564
2,947573616,AVLP016,398,3,5813077633,981000564
2,981000564,DNp42,12,3,5813077633,981000564
3,5813077633,AVLP479,0,3,5813077633,981000564
3,5813039148,PVLP011,11,3,5813077633,981000564
3,947573616,AVLP016,11,3,5813077633,981000564
3,981000564,DNp42,12,3,5813077633,981000564
4,5813077633,AVLP479,0,3,5813077633,981000564
4,5813063087,PVLP014,35,3,5813077633,981000564
4,947573616,AVLP016,14,3,5813077633,981000564
4,981000564,DNp42,12,3,5813077633,981000564
5,5813077633,AVLP479,0,3,5813077633,981000564
